X,Y,Z,formation
0,0,200,rock1
0,35,200,rock1
0,71,200,rock1
0,107,200,rock1
0,142,200,rock1
0,178,200,rock1
0,214,200,rock1
0,250,200,rock1
0,285,200,rock1
0,321,200,rock1
0,357,200,rock1
0,392,200,rock1
0,428,200,rock1
0,464,200,rock1
0,500,200,rock1
0,535,200,rock1
0,571,200,rock1
0,607,200,rock1
0,642,200,rock1
0,678,200,rock1
0,714,200,rock1
0,750,200,rock1
0,785,200,rock1
0,821,200,rock1
0,857,200,rock1
0,892,200,rock1
0,928,200,rock1
0,964,200,rock1
0,1000,200,rock1
200,0,400,rock1
200,35,400,rock1
200,71,400,rock1
200,107,400,rock1
200,142,400,rock1
200,178,400,rock1
200,214,400,rock1
200,250,400,rock1
200,285,400,rock1
200,321,400,rock1
200,357,400,rock1
200,392,400,rock1
200,428,400,rock1
200,464,400,rock1
200,500,400,rock1
200,535,400,rock1
200,571,400,rock1
200,607,400,rock1
200,642,400,rock1
200,678,400,rock1
200,714,400,rock1
200,750,400,rock1
200,785,400,rock1
200,821,400,rock1
200,857,400,rock1
200,892,400,rock1
200,928,400,rock1
200,964,400,rock1
200,1000,400,rock1
400,0,600,rock1
400,35,600,rock1
400,71,600,rock1
400,107,600,rock1
400,142,600,rock1
400,178,600,rock1
400,214,600,rock1
400,250,600,rock1
400,285,600,rock1
400,321,600,rock1
400,357,600,rock1
400,392,600,rock1
400,428,600,rock1
400,464,600,rock1
400,500,600,rock1
400,535,600,rock1
400,571,600,rock1
400,607,600,rock1
400,642,600,rock1
400,678,600,rock1
400,714,600,rock1
400,750,600,rock1
400,785,600,rock1
400,821,600,rock1
400,857,600,rock1
400,892,600,rock1
400,928,600,rock1
400,964,600,rock1
400,1000,600,rock1
600,0,600,rock1
600,35,600,rock1
600,71,600,rock1
600,107,600,rock1
600,142,600,rock1
600,178,600,rock1
600,214,600,rock1
600,250,600,rock1
600,285,600,rock1
600,321,600,rock1
600,357,600,rock1
600,392,600,rock1
600,428,600,rock1
600,464,600,rock1
600,500,600,rock1
600,535,600,rock1
600,571,600,rock1
600,607,600,rock1
600,642,600,rock1
600,678,600,rock1
600,714,600,rock1
600,750,600,rock1
600,785,600,rock1
600,821,600,rock1
600,857,600,rock1
600,892,600,rock1
600,928,600,rock1
600,964,600,rock1
