X,Y,Z,formation
0,0,200,rock1
0,500,200,rock1
0,1000,200,rock1
200,0,400,rock1
200,500,400,rock1
200,1000,400,rock1
400,0,600,rock1
400,500,600,rock1
400,1000,600,rock1
600,0,600,rock1
600,500,600,rock1
600,1000,600,rock1
800,0,400,rock1
800,500,400,rock1
800,1000,400,rock1
1000,0,200,rock1
1000,500,200,rock1
1000,1000,200,rock1
0,0,400,rock2
0,500,400,rock2
0,1000,400,rock2
200,0,600,rock2
200,500,600,rock2
200,1000,600,rock2
400,0,800,rock2
400,500,800,rock2
400,1000,800,rock2
600,0,800,rock2
600,500,800,rock2
600,1000,800,rock2
800,0,600,rock2
800,500,600,rock2
800,1000,600,rock2
1000,0,400,rock2
1000,500,400,rock2
1000,1000,400,rock2
