X,Y,Z,formation
10.0,10.0,-194.28215181562564,rock1
10.0,990.0,-194.28215181562564,rock1
270.0,230.0,-50.0222139260919,rock1
270.0,770.0,-50.0222139260919,rock1
730.0,230.0,-50.0222139260918,rock1
730.0,770.0,-50.0222139260918,rock1
990.0,10.0,-194.28215181562564,rock1
990.0,990.0,-194.28215181562564,rock1
10.0,10.0,6.2821518156256,rock2
10.0,990.0,6.2821518156256,rock2
270.0,230.0,150.0222139260919,rock2
270.0,770.0,150.0222139260919,rock2
730.0,230.0,150.0222139260918,rock2
730.0,770.0,150.0222139260918,rock2
990.0,10.0,6.2821518156256,rock2
990.0,990.0,6.2821518156256,rock2
