X,Y,Z,formation
0,200,400,rock1
0,500,400,rock1
0,800,400,rock1
100,200,500,rock1
100,500,500,rock1
100,800,500,rock1
200,200,600,rock1
200,500,600,rock1
200,800,600,rock1
800,200,600,rock1
800,500,600,rock1
800,800,600,rock1
900,200,500,rock1
900,500,500,rock1
900,800,500,rock1
1000,200,400,rock1
1000,500,400,rock1
1000,800,400,rock1
0,200,600,rock2
0,500,600,rock2
0,800,600,rock2
1000,200,600,rock2
1000,500,600,rock2
1000,800,600,rock2
100,200,700,rock2
100,500,700,rock2
100,800,700,rock2
900,200,700,rock2
900,500,700,rock2
900,800,700,rock2
400,500,500,rock3
500,400,500,rock3
600,500,500,rock3
500,600,500,rock3




