X,Y,Z,formation
0,222,200,rock1
0,555,200,rock1
0,1000,200,rock1
111,111,300,rock1
111,333,300,rock1
222,666,400,rock1
333,222,500,rock1
333,333,500,rock1
333,666,500,rock1
333,888,500,rock1
444,222,600,rock1
444,444,600,rock1
444,555,600,rock1
444,666,600,rock1
444,888,600,rock1
555,444,600,rock1
555,555,600,rock1
555,888,600,rock1
666,333,500,rock1
666,555,500,rock1
777,111,400,rock1
777,666,400,rock1
777,1000,400,rock1
888,222,300,rock1
888,333,300,rock1
888,444,300,rock1
888,555,300,rock1
888,777,300,rock1
1000,666,200,rock1
1000,1000,200,rock1
0,222,400,rock2
0,555,400,rock2
0,1000,400,rock2
111,111,500,rock2
111,333,500,rock2
222,666,600,rock2
333,222,700,rock2
333,333,700,rock2
333,666,700,rock2
333,888,700,rock2
444,222,800,rock2
444,444,800,rock2
444,555,800,rock2
444,666,800,rock2
444,888,800,rock2
555,444,800,rock2
555,555,800,rock2
555,888,800,rock2
666,333,700,rock2
666,555,700,rock2
777,111,600,rock2
777,666,600,rock2
777,1000,600,rock2
888,222,500,rock2
888,333,500,rock2
888,444,500,rock2
888,555,500,rock2
888,777,500,rock2
1000,666,400,rock2
1000,1000,400,rock2
