Line,Station,East_KKJ,North_KKJ,Lon_Intl24,Lat_Intl24,Elev_m,Orig_Boug267,Terr_corr,Curv_corr,Boug310,TC_Boug310,TC+Curv310
1,492000,3492000,7510000,26.8113537,67.6764297,206.97,-23.75,0.002,0.288,-27.491,-27.489,-27.777
1,492020,3492020,7510000,26.8118248,67.6764297,206.9,-23.68,0.002,0.288,-27.427,-27.425,-27.713
1,492040,3492040,7510000,26.8122959,67.6764297,207.04,-23.66,0.002,0.288,-27.398,-27.396,-27.685
1,492060,3492060,7510000,26.812767,67.6764297,207.04,-23.64,0.002,0.288,-27.37,-27.368,-27.656
1,492080,3492080,7510000,26.8132381,67.6764297,206.96,-23.59,0.002,0.288,-27.321,-27.318,-27.606
1,492100,3492100,7510000,26.8137112,67.6764297,206.89,-23.56,0.002,0.288,-27.283,-27.281,-27.569
1,492120,3492120,7510000,26.8141823,67.6764297,206.71,-23.5,0.002,0.288,-27.23,-27.228,-27.516
1,492140,3492140,7510000,26.8146534,67.6764297,206.48,-23.44,0.002,0.287,-27.183,-27.18,-27.468
1,492160,3492160,7510000,26.8151245,67.6764297,206.26,-23.43,0.002,0.287,-27.158,-27.156,-27.443
1,492180,3492180,7510000,26.8155956,67.6764297,206.24,-23.46,0.002,0.287,-27.154,-27.152,-27.439
1,492200,3492200,7510000,26.8160686,67.6764297,206.09,-23.41,0.002,0.287,-27.112,-27.109,-27.396
1,492220,3492220,7510000,26.8165398,67.6764297,206.04,-23.36,0.002,0.287,-27.081,-27.079,-27.366
1,492240,3492240,7510000,26.8170109,67.6764374,206.11,-23.28,0.002,0.287,-27.05,-27.048,-27.335
1,492260,3492260,7510000,26.817482,67.6764374,206.01,-23.34,0.002,0.287,-27.071,-27.068,-27.355
1,492280,3492280,7510000,26.817955,67.6764374,205.89,-23.32,0.002,0.287,-27.046,-27.044,-27.33
1,492300,3492300,7510000,26.818428,67.6764374,205.83,-23.22,0.002,0.287,-26.959,-26.956,-27.243
1,492320,3492320,7510000,26.8188992,67.6764374,206.06,-23.24,0.002,0.287,-26.948,-26.946,-27.233
1,492340,3492340,7510000,26.8193703,67.6764374,205.88,-23.17,0.002,0.287,-26.89,-26.888,-27.175
1,492360,3492360,7510000,26.8198414,67.6764374,205.82,-23.19,0.002,0.287,-26.891,-26.888,-27.175
1,492380,3492380,7510000,26.8203125,67.6764374,205.78,-23.16,0.002,0.286,-26.863,-26.86,-27.147
1,492400,3492400,7510000,26.8207836,67.6764374,206,-23.12,0.002,0.287,-26.845,-26.843,-27.129
1,492420,3492420,7510000,26.8212566,67.6764374,205.91,-23.13,0.002,0.287,-26.851,-26.849,-27.135
1,492440,3492440,7510000,26.8217278,67.6764374,206.08,-23.1,0.002,0.287,-26.824,-26.821,-27.108
1,492460,3492460,7510000,26.8221989,67.6764374,205.96,-23.05,0.002,0.287,-26.788,-26.785,-27.072
1,492480,3492480,7510000,26.82267,67.6764374,205.98,-23.03,0.002,0.287,-26.774,-26.771,-27.057
1,492499,3492499,7510000,26.8231201,67.676445,205.83,-23.04,0.003,0.287,-26.774,-26.771,-27.058
1,492520,3492520,7510000,26.8236141,67.676445,205.79,-23.11,0.003,0.286,-26.807,-26.803,-27.09
1,492540,3492540,7510000,26.8240852,67.676445,205.96,-23.15,0.003,0.287,-26.838,-26.835,-27.122
1,492560,3492560,7510000,26.8245583,67.676445,205.79,-23.17,0.003,0.286,-26.856,-26.852,-27.139
1,492580,3492580,7510000,26.8250294,67.676445,205.8,-23.17,0.003,0.286,-26.871,-26.867,-27.154
1,492600,3492600,7510000,26.8255005,67.676445,205.77,-23.19,0.004,0.286,-26.887,-26.882,-27.169
1,492620,3492620,7510000,26.8259735,67.676445,205.8,-23.17,0.004,0.286,-26.882,-26.877,-27.164
1,492640,3492640,7510000,26.8264446,67.676445,205.82,-23.2,0.005,0.287,-26.914,-26.908,-27.195
1,492660,3492660,7510000,26.8269157,67.676445,205.76,-23.27,0.006,0.286,-26.962,-26.955,-27.242
1,492680,3492680,7510000,26.8273869,67.676445,205.73,-23.28,0.007,0.286,-26.971,-26.963,-27.249
1,492700,3492700,7510000,26.827858,67.676445,205.91,-23.19,0.008,0.287,-26.91,-26.901,-27.187
1,492720,3492720,7510000,26.828331,67.676445,206.16,-23.14,0.01,0.287,-26.879,-26.868,-27.155
1,492740,3492740,7510000,26.8288021,67.676445,206.38,-23.14,0.013,0.287,-26.871,-26.856,-27.144
1,492760,3492760,7510000,26.8292732,67.6764526,206.59,-23.1,0.019,0.288,-26.854,-26.833,-27.12
1,492780,3492780,7510000,26.8297443,67.6764526,207.42,-23.15,0.026,0.289,-26.92,-26.89,-27.178
1,492800,3492800,7510000,26.8302155,67.6764526,209.28,-23.2,0.027,0.291,-27.003,-26.972,-27.263
1,492820,3492820,7510000,26.8306885,67.6764526,210.98,-23.3,0.035,0.293,-27.115,-27.075,-27.368
1,492840,3492840,7510000,26.8311596,67.6764526,214.24,-23.39,0.037,0.298,-27.248,-27.204,-27.502
1,492860,3492860,7510000,26.8316326,67.6764526,215.83,-23.53,0.036,0.3,-27.364,-27.323,-27.623
1,492880,3492880,7510000,26.8321037,67.6764526,216.12,-23.57,0.031,0.3,-27.403,-27.367,-27.667
1,492900,3492900,7510000,26.8325748,67.6764526,216.24,-23.55,0.031,0.3,-27.399,-27.363,-27.663
1,492920,3492920,7510000,26.8330479,67.6764526,216,-23.63,0.032,0.3,-27.473,-27.436,-27.736
1,492940,3492940,7510000,26.833519,67.6764526,215.31,-23.69,0.033,0.299,-27.502,-27.464,-27.763
1,492960,3492960,7510000,26.8339901,67.6764526,214.13,-23.66,0.032,0.297,-27.469,-27.431,-27.729
